15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (00863980)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (00863A28)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (00863AD0)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (00863B78)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (00863C20)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (00863CC8)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (00863E18)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (00863D70)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (00863F68)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (00863EC0)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (00864010)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (008640B8)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (00864208)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (00864160)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (008642B0)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (00864358)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (00864400)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (008644A8)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (00864550)
15/03/2013 17:35:44 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
15/03/2013 17:35:44 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (008645F8)
15/03/2013 17:35:44 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
15/03/2013 17:35:44 (Std) 	CEGUI::System singleton created. (0086CAD0)
15/03/2013 17:35:44 (Std) 	---- CEGUI System initialisation completed ----
15/03/2013 17:35:44 (Std) 	
15/03/2013 17:35:44 (Std) 	Started creation of Scheme from XML specification:
15/03/2013 17:35:44 (Std) 	---- CEGUI GUIScheme name: WindowsLookSkin
15/03/2013 17:35:44 (Std) 	Started creation of Imageset from XML specification:
15/03/2013 17:35:44 (Std) 	---- CEGUI Imageset name: WindowsLook
15/03/2013 17:35:44 (Std) 	---- Source texture file: WindowsLook.tga in resource group: (Default)
15/03/2013 17:35:44 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
15/03/2013 17:35:44 (Std) 	===== Look and feel parsing completed =====
15/03/2013 17:35:44 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Button' added. (008647F0)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Default' added. (00864BE0)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (00864C88)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (00864D30)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (00864B38)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (00864DD8)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (00864E80)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (00864F28)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (00865078)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (00865120)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (00864FD0)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (008651C8)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (00865270)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (00865318)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (008653C0)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (07E32060)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (07E32108)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Static' added. (07E32258)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (07E32300)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (07E321B0)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (07E323A8)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (07E32450)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (07E324F8)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (07E325A0)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (07E32648)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (07E326F0)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (07E32840)
15/03/2013 17:35:44 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
15/03/2013 17:35:44 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (07E32798)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'WindowsLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'WindowsLook/Button' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'WindowsLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'WindowsLook/Checkbox' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'WindowsLook/IconButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'WindowsLook/IconButton' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'WindowsLook/RadioButton' using base type 'CEGUI/RadioButton', window renderer 'Falagard/ToggleButton' Look'N'Feel 'WindowsLook/RadioButton' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'WindowsLook/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'WindowsLook/FrameWindow' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'WindowsLook/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'WindowsLook/Titlebar' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'WindowsLook/SystemButton' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'WindowsLook/SystemButton' and RenderEffect ''. (0034CF88)
